Date,Open,High,Low,Close,Adj Close,Volume
8/20/2018,54.52500153,54.79499817,53.77750015,53.86500168,51.5883255,121150800
8/21/2018,54.20000076,54.29750061,53.50749969,53.75999832,51.48775482,104639200
8/22/2018,53.52500153,54.09000015,53.45999908,53.76250076,51.49015808,76072400
8/23/2018,53.66249847,54.26250076,53.65000153,53.87250137,51.59550476,75532800
8/24/2018,54.15000153,54.22499847,53.77750015,54.04000092,51.75593567,73905600
8/27/2018,54.28749847,54.68500137,54.08250046,54.48500061,52.18212509,82100400
8/28/2018,54.75249863,55.13499832,54.72999954,54.92499924,52.60352325,91107200
8/29/2018,55.03749847,55.87250137,54.85250092,55.74499893,53.38886642,109019200
8/30/2018,55.8125,57.06499863,55.59999847,56.25749969,53.87969971,195175200
8/31/2018,56.62749863,57.21749878,56.5,56.90750122,54.50222397,173360400
9/4/2018,57.10250092,57.29499817,56.65750122,57.09000015,54.6770134,109560400
9/5/2018,57.24750137,57.41749954,56.27500153,56.71749878,54.32026291,133332000
9/6/2018,56.55749893,56.83750153,55.32500076,55.77500153,53.41760254,137160000
9/7/2018,55.46250153,56.34249878,55.17750168,55.32500076,52.98662186,150479200
9/10/2018,55.23749924,55.46250153,54.11750031,54.58250046,52.27549744,158066000
9/11/2018,54.50249863,56.07500076,54.13999939,55.96250153,53.5971756,142996000
9/12/2018,56.23500061,56.25,54.95999908,55.26750183,52.93154526,197114800
9/13/2018,55.88000107,57.08750153,55.64250183,56.60250092,54.21012497,166825600
9/14/2018,56.4375,56.70999908,55.63000107,55.95999908,53.59477234,127997200
9/17/2018,55.53749847,55.73749924,54.31750107,54.47000122,52.16775131,148780400
9/18/2018,54.44749832,55.46250153,54.27999878,54.56000137,52.25394821,126286800
9/19/2018,54.625,54.90499878,53.82500076,54.59249878,52.28508377,108495200
9/20/2018,55.06000137,55.56999969,54.78749847,55.00749969,52.68253708,106435200
9/21/2018,55.19499969,55.34000015,54.32249832,54.41500092,52.1150856,384986800
9/24/2018,54.20500183,55.31499863,54.15750122,55.19749832,52.86450195,110773600
9/25/2018,54.9375,55.70500183,54.92499924,55.54750061,53.19971085,98217600
9/26/2018,55.25,55.9375,54.93999863,55.10499954,52.77591324,95938800
9/27/2018,55.95500183,56.61000061,55.88499832,56.23749924,53.8605423,120724800
9/28/2018,56.19749832,56.45999908,56.00500107,56.43500137,54.04970169,91717600
10/1/2018,56.98749924,57.35499954,56.58750153,56.81499863,54.41364288,94403200
10/2/2018,56.8125,57.5,56.65750122,57.31999969,54.89728928,99152800
10/3/2018,57.51250076,58.36750031,57.44499969,58.01750183,55.56530762,114619200
10/4/2018,57.69499969,58.08750153,56.68249893,56.99750137,54.58842087,128168000
10/5/2018,56.99000168,57.10250092,55.14500046,56.07249832,53.70251846,134322000
10/8/2018,55.55250168,56.20000076,55.04999924,55.94250107,53.57801437,118655600
10/9/2018,55.90999985,56.81750107,55.5625,56.71749878,54.32026291,107564000
10/10/2018,56.36500168,56.58750153,54.01250076,54.09000015,51.80381012,167962400
10/11/2018,53.63000107,54.875,53.08000183,53.61249924,51.34649658,212497600
10/12/2018,55.10499954,55.72000122,54.20999908,55.52750015,53.18055344,161351600
10/15/2018,55.29000092,55.45750046,54.31750107,54.34000015,52.04324722,123164000
